issue	created	updated	author	comments	type	labels	repro	run	title	verdict	dup	settype	settitle	addlabels	rmlabels	action	note
1708	2020-12-17	2026-08-19	mahrud	4	Task	Core,Documentation,contributions welcome	transcript	syntax	Speeding up running the tests	stands		Task				keep	stands, half done. Dan's instruction was carried out -- Macaulay2Doc now has no TEST blocks at all, and check_1 "Macaulay2Doc" answers 'Macaulay2Doc has no test #1'. But check still passes LoadDocumentation => true (m2/testing.m2:89, 93, 101), and that is measurable: on 1.26.06-40-gd8e86d689d the first needsPackage("Macaulay2Doc", LoadDocumentation => true) costs 18.1s, the second 0.011s, and check_1 after it 0.013s -- so 18 seconds of documentation is still loaded per process before a package with zero tests can be told it has none. That is mahrud's own 2020-12-18 correction, unchanged. Dan's option 2, enforcing that all TESTs precede beginDocumentation, does not generalise cheaply: 219 of 300 distributed packages currently place at least one TEST after beginDocumentation. Option 1 is #1689, open. Related but distinct: #1480 (examples, not tests) and #992 (parallelism), both open. Type Feature -> Task: test-machinery work, not new functionality.
1721	2020-12-21	2026-08-19	mahrud	7	Feature	Core	transcript	differs	short description of Rings in afterprint	stands				Core		keep	stands: typing R still prints R, and Dan's 'too complicated' still stands as the answer. Two things have moved under the thread, neither settling it. describe R is now much shorter than the 2020 transcript -- QQ[x..z, Degrees => {3:1}, Heft => {1}] against the old version carrying MonomialOrder and DegreeRank -- so mahrud's 'a little bit too much information' complaint is materially smaller. And Dan's suggested workaround no longer runs: formation R errors with 'no method found for applying formation to: R (of class PolynomialRing)'. formation has methods only for Module (m2/matrix.m2:323), ChainComplex, ChainComplexMap, GradedModule and GradedModuleMap, and git log -S finds no 'formation Ring' or 'formation PolynomialRing' anywhere in history, including at afaa83b5c6 (Dec 2020) -- so how his pasted transcript ran is not explained by the tree, and I am not claiming a regression. formation M on a directSum still works, as in his follow-up. Type Feature is already right.
1733	2020-12-23	2026-08-19	mahrud	1	Task	Interpreter	opaque	n/a	Remove long and unsigned long from the D language	stands		Task		Interpreter		keep	stands, and the surface has grown. Doug's 2020 measurement was 'grep long * | wc -l' in M2/Macaulay2/d giving 286 lines; the same command gives 472 today, a 65% increase. Restricting to the word itself, \\blong\\b occurs 323 times and 'unsigned long' 22. So neither type has been removed and nothing has stopped their spread. The follow-up ask is split: M2/Macaulay2/c/README still exists and is still the un-updated 13.5 kB plain-text document mahrud pointed at, but the 'translate it to markdown for the wiki' half has since been done outside the tracker -- Doug's D language and D language grammar wiki pages. Related: #4517 (build with -fsanitize=integer), open, which is the other end of the same integer-width problem. Type Task: a refactor of the interpreter's own sources.
1749	2020-12-27	2026-08-19	mahrud	2	Feature	Core	prose	n/a	Feature request: MutableIdeal	stands				Core		keep	stands, untouched: MutableIdeal does not exist -- git grep MutableIdeal over M2/Macaulay2 returns nothing, and gh search issues returns only this issue. The blocker dylanpeifer named in 2021 is also unchanged: what the request really needs is an incremental Groebner basis, updating a gb when a generator is added rather than recomputing, and that is not in the engine. mahrud's reply narrows the ask usefully -- addition should be O(1) and the gb recomputed lazily -- which is the design the issue would be implemented from. Type Feature is already right.
1751	2020-12-28	2026-08-19	mahrud	5	Bug	Interpreter	transcript	syntax	Printing nets	reproduces		Bug		Interpreter		keep	reproduces byte for byte: both v1.15 transcripts in the body print identically on 1.26.06-40-gd8e86d689d, including the mangled second matrix ('| 0 0 1 || 1 0 |' then '| 0 1 || 1 |' starting back at column 0). Note the i9/i10 blocks lower in the thread are mahrud's two *proposals*, not observed output, so nothing there establishes a change. For what it is worth the current behaviour is his option 2 for the string part -- << "haha\\nho" << id_(ZZ^2) gives 'haha| 1 0 |' / 'ho  | 0 1 |', left-justified as a net -- but the trailing net after flush starts at column 0 rather than being indented, which is Dan's point that after a flush the column is no longer known. The design question mahrud asked twice was answered once, with 'There are none', and his follow-up asking which convention to adopt got no reply. Net printing is m2/../d/nets.d, hence Interpreter.
1754	2020-12-29	2026-08-19	d-torrance	0	Feature	Core	transcript	differs	Wishlist: Make Expressions work with inequalities	reproduces		Feature		Core		keep	reproduces verbatim: hold 4 > 5 still answers 'no method for binary operator ? applied to objects: 4 (of class Holder) ? 5 (of class ZZ)' on 1.26.06-40-gd8e86d689d, while hold 4 == 5 gives the Equation expression, exactly the asymmetry Dan described. The mechanism he named is unchanged: comparison operators route through ? in the interpreter, so Expression cannot intercept them the way it intercepts == at m2/expressions.m2. Parent thread #1738 is closed; #4595 -- there is no UnaryOperation expression, so 'not' on an Expression has no method -- is open and is the same shape one operator class over. Type Feature: the title says Wishlist and the ask is functionality M2 does not have.
1783	2021-01-03	2026-08-19	mahrud	9	Task	Infrastructure,under discussion	prose	n/a	Requiring status checks before merging	stands		Task		Infrastructure		keep	stands, and the core ask is measurably unmet five years on: gh api repos/Macaulay2/M2/branches/{development,stable} both report protected=false, /rulesets is empty, and allow_auto_merge and delete_branch_on_merge are both false. So no status check, review count or conversation requirement gates any merge. Two of the thread's side proposals did land: master is gone -- the default branch is now stable -- and Dan's own 'submit a pull request from development to master' idea (#1862) is how releases move. Two did not: pre-master still exists, five years after mahrud wrote 'We can remove pre-master now', and there are ten release-*-branch branches against his proposal to use tags instead, in a repository with 23 branches total. The label 'under discussion' is worth a look: the last activity is mahrud's 2024-07-21 comment cc'ing four maintainers about branch protection settings and CODEOWNERS, which got no reply. Type Task: repository administration, not code.
1831	2021-01-18	2026-08-19	DanGrayson	3	Task	Infrastructure,build issue	prose	n/a	caching in github workflow actions	stands		Task		Infrastructure		keep	stands, half of it. Dan's complaint was that caching ~/work/M2/M2/M2/BUILD/build/usr-host gives the autotools build nothing; .github/workflows/test_build.yml:126 still caches exactly that path, and the workaround chosen was to gate the step on 'if: matrix.build-system == cmake' rather than to make autotools look there. Doug's 2024-07-21 'I don't think so, but I'll have to experiment' is still the last word on whether autotools consults usr-host before deciding to build a library. Dan's second ask -- a mechanism for emptying the caches so flint 2.7.1 can replace 2.7.0 -- is effectively solved: the cache key is build-cache-{os}-{compiler}-{build-system}-{hashFiles('**/cmake/*-libraries.cmake', '.github/workflows/test_build.yml')}, so a library version bump changes the key and the old entry ages out. Type Task, and Infrastructure per the label's own description, 'GitHub workflows, etc.'
1834	2021-01-18	2026-08-19	d-torrance	20	Bug	Memory Leak,arm,build issue	transcript	syntax	check_254 "Core" failing during "M2 --check 2" on i386	stands		Bug		Memory Leak		keep	stands; n/a-platform. A 32-bit exhaustion story -- i386 and armhf, reported on Debian CI and PPA builds -- and nothing here is 32-bit. It is also one of the rows the reference build hides: two 'no-check-architecture: arm (#1834)' markers sit in the PPA build's packages. The thread contains the strongest leak evidence in this corpus and it was never acted on: mahrud captured the same Core test 1500 times and watched memory climb, with clearAll and collectGarbage changing nothing; jkyang92 (2021-11-28) instrumented the interpreter and found RawRingCell, FunctionClosure and Symbol all allocated at a rate linear in the number of runs. Adding 'Memory Leak' on that basis -- the issue is filed as a check failure but what it documents is a leak. Two side notes settled inside the thread: the test number 254 is wrong for Debian, where ~30 Core tests are gzipped under /usr/share/doc and skipped, and mahrud's proposed UserMode => false default was diagnosed as not applicable since Doug passes -q.
1842	2021-01-19	2026-08-19	antonleykin	1	Task	Core	prose	n/a	Same same, but different	stands		Task		Core		keep	stands, untouched, and the evidence is in the file: m2/lists.m2:148 is still 'same = L -> #L <= 1 or (t := L#0; not any(L, l -> t =!= l))', a plain FunctionClosure, with mahrud's proposed method version still commented out three lines above at 145 under the TODO 'how to get this to work? When fixed, replace "same apply" with "same"'. number is likewise 'number = x -> # select x' at line 124. So neither is a method and neither takes options, which is anton's ask. Related to #1649 (which symbols belong in Core, stands) but distinct: this is about the kind of object exported Core functions should be, not which names should live there. Type Task: converting existing functions to methods is internal reorganisation.
1850	2021-01-21	2026-08-19	mahrud	3	Task	Engine	prose	n/a	Benchmarks from Nemo	stands		Task		Engine		keep	stands: mahrud's concrete suggestion is unimplemented. fmpz_mpoly appears nowhere in M2 -- git grep over the whole tree returns only two hits in M2/libraries/factory/patch-4.3.0 -- so the multiplication path he traced (PolyRing::mult -> mult_by_term -> ARingZZ::from_ring_elem -> fmpz_set_ui) is still M2's own, with flint used only for the coefficient arithmetic at the bottom. flint itself is used widely, 43 files under M2/Macaulay2/e reference it, and m2/flint.m2 still exposes ZZFlintRing, so Mike's 2021 'we are currently using a very small part of flint' remains an accurate description. The threaded fmpz_mpoly_mul routines mahrud pointed at have not been adopted. Type Task: an engine implementation change, not user-facing functionality.
1854	2021-01-22	2026-08-19	antonleykin	1	Bug	Core	prose	n/a	OptionalComponentsPresent set to false because of the dependency?	stands		Bug		Core		comment	stands -- there is no propagation -- but the stated mechanism is not what happens, and anton's own title carries a question mark. Tested with two throwaway packages on 1.26.06-40-gd8e86d689d: with OptTwo declaring OptionalComponentsPresent => false, OptOne comes out true under PackageImports and true under PackageExports alike, so nothing propagates in either direction, and check "OptOne" runs while check "OptTwo" skips. What actually forces false is m2/packages.m2:360, 'if opts.OptionalComponentsPresent === null then opts = opts ++ {OptionalComponentsPresent => opts.CacheExampleOutput =!= true}': a package that sets CacheExampleOutput => true silently gets OptionalComponentsPresent => false and its tests silently skipped. NumericalSchubertCalculus.m2:36 sets exactly that. His workaround is still in the tree and has decayed: lines 1-4 of NumericalSchubertCalculus.m2 are a verbatim copy of lines 1-4 of PHCpack.m2, added in b436e6ddfe on 2021-01-22, the day he filed this -- and the two copies have drifted, PHCpack requiring phc >= 2.4.77 since ad6ea46aee (2020-06-26) while the copy still requires >= 2.3.80. So the ask, that a package inherit its dependency's optional-component status, is unimplemented, and the duplication it forces has already produced an inconsistency.
1858	2021-01-22	2026-08-19	DanGrayson	4	Bug	Interpreter	transcript	syntax	 a new problem: notice the "bad prompt":	reproduces		Bug				keep	reproduces verbatim on 1.26.06-40-gd8e86d689d, via Doug's 2024 minimal case rather than Dan's matroid script. Feeding 'alarm 1;' and then waiting three seconds before the next line gives exactly the transcript in the body: 'i2 : ' then '<--bad prompt--> : 55'. It needs a genuine idle prompt -- with stdin from a file M2 reads the next line at once and the alarm surfaces as 'error: alarm occurred' instead, so a plain redirect will not show it. Diagnosis in the thread is complete and unacted on: pzinn worked out and Dan confirmed that ZZ#{Standard, InputPrompt} must return a string or a small integer, and the fallback prints <--bad prompt--> when it returns anything else; SIGALRM arriving while the prompt is being computed puts it in that state. Related #1392 (alarm sometimes not caught), open. Label Interpreter is already right.
1859	2021-01-22	2026-08-19	mahrud	22	Feature	Interfaces	prose	n/a	Feature request: visualizing real algebraic curves and surfaces with surf and surfer	stands				Interfaces		keep	stands: no surf interface exists in M2. methods show returns only (show, URL) on 1.26.06-40-gd8e86d689d, so mahrud's (show, Ideal) was never implemented and neither was his 2021-11-14 follow-up asking for view as a synonym; there is no surf package among the 300 distributed, and nothing under M2/Macaulay2/packages matching surf. What the thread did produce lives outside the tracker: jieaosong's Jupyter notebook demo, pzinn's deployment of surf on Macaulay2Web (2021-03-25), and jieaosong's AUR packaging of surf-geometry. The distribution details worked out in the thread still hold -- Debian and Ubuntu ship it as surf-alggeo compiled with --disable-gui (present on this machine at /usr/bin/surf-alggeo), Fedora as surf-geometry needing --no-gui, and the Debian auto-extension patch explains the .jpg.jpg problem. jieaosong's suggestion of a shared image-display interface, which Doug seconded by naming Graphs and Posets, is the part with the widest reach and is also unimplemented. Type Feature is already right.
1860	2021-01-22	2026-08-19	mahrud	16	Feature	Core	prose	n/a	Feature request: "get" should support more protocols	stands				Core		keep	stands: getWWW is still M2's own implementation in m2/http.m2 with methods only for (String), (String,String) and (String,Nothing); methods get returns only (get, File) and (get, String), so there is no get URL, no libcurl anywhere in the tree, and getWWW is not deprecated. Two things from the thread did land. Dan fixed the https failure the same day in 88b1ca559c, and it works here -- getWWW "https://github.com/" returns a page on 1.26.06-40-gd8e86d689d. And #1310, the FFI request mahrud named as his preferred route ('implement #1310 and add a package that makes FFI calls to libcurl'), is closed and shipped as the ForeignFunctions package, which loads. So the enabler exists and the package on top of it was never written. mahrud's other complaint still holds: getWWW on an ftp:// URL returns the empty string rather than erroring. His follow-up asks -- load and loadPackage and installPackage from a URL -- are also unimplemented. Type Feature is already right.
1865	2021-01-23	2026-08-19	DanGrayson	0	Bug	Core	prose	n/a	lines without newlines scramble the output when an error occurs	stands		Bug		Core		keep	stands. The body is a screenshot with no text, so there is no runnable repro; read it and the title makes sense -- '-- making example results for "reading files"' is followed on the same line by 'sh: line 1:  1776 Abort trap: 6', and Dan circled both instances of that. The mechanism is unchanged and deliberate. Four call sites write a padded progress line with no newline so the elapsed time can be appended: m2/examples.m2:250 (with the comment '-- the timing info will appear at the end'), m2/examples.m2:257, m2/testing.m2:46 in checkmsg, and m2/run.m2:159 for the error line. Anything a child process writes to stderr before the timing is appended therefore lands on that line. Not reproduced here rather than reproduced: it needs an example that aborts under installPackage, and at an interactive prompt M2's own prompt separates the two writes. The intended one-line form is visible in ordinary output, e.g. ' -- skipping  check(0, "DeterminantalRepresentations") -- .000083201s elapsed'.
1880	2021-01-26	2026-08-19	pzinn	3	Bug	Documentation	transcript	differs	Incorrect links in documentation examples	reproduces		Bug				keep	reproduces, and the mechanism is located. htmlDirectory is still "" when the examples run. installPackage.m2:34 initialises it to the empty string; installPackage.m2:837 calls installHTML, which sets it at line 459 to replace("PKG", pkgname, installLayout#"packagehtml"); but generateExampleResults is called at line 784, fifty-three lines earlier. So every link an example emits is relativized against "" -- and relativizeFilename("", "common/share/doc/Macaulay2/Complexes/html/x.html") returns its argument unchanged, where relativizeFilename("common/share/doc/Macaulay2/Text/html/", same) gives ../../Complexes/html/x.html. Both checked in a live session. The leaked string is the raw build-tree layout tail from htmlFilename (installPackage.m2:99), which in the build layout begins with common/. That also explains pzinn s contrast: in an ordinary session htmlDirectory is "" too, but getPackageInfo resolves an installed package to a different prefix, so toURL(String,String) takes the prefix|tail branch and yields a correct absolute URL -- html TO "freeResolution" gives href="/usr/share/doc/Macaulay2/Complexes/html/_free__Resolution.html" on 1.26.06-40-gd8e86d689d. Scope in the shipped docs is one file, Text/example-output/___Mark__Up__Type.out, from the example html oo; in Standard mode it reaches the page escaped, so a reader sees a wrong path as literal text rather than a dead link, which is why pzinn said it mostly affects the web app, where the same output is rendered. The ${prefix}$ placeholder he remembers is not findable anywhere in this repository history, and nothing post-processes .out files for links; it may have lived in Macaulay2Web.
1881	2021-01-26	2026-08-20	mahrud	6	Feature	Core	prose	n/a	options for method with Options => true	stands		Feature		Core		comment	stands, but both of Dan's alternatives landed and the original ask did not. options dual still returns null on 1.26.06-40-gd8e86d689d, which is MichaelABurr's complaint and the thing Dan agreed was a good point. Meanwhile options n works -- (options, ZZ) was added by mahrud in de77e508d9 (2021-02-14, PR #2109, 'add options(ZZ)'), reading previousMethodsFound#i at m2/code.m2:205 -- and options methods dual works, via (options, List) added in efa9ef66cc (mahrud, 2024-10-29), whose commit message is literally 'added (options, List), e.g. for options methods codim'. So the thread's two suggestions were implemented three weeks and nearly four years later without the issue being touched. #2864 (mikestillman, 2023-06-06, open, untriaged) is the same complaint reported independently -- 'dual is a method with options, yet options dual returns null. This is confusing' -- and is the newer of the two, so it is the one that should close into this when its row comes up. Dan disagrees there, saying null correctly indicates no global options.
1885	2021-01-26	2026-08-19	DanGrayson	0	Feature	Core	prose	n/a	examples should get more memory and time in non-optimizing mode	stands		Feature		Core		keep	stands: the ask is keyed to the wrong flag and covers only half of what was asked. m2/run.m2:114 does raise the example memory limit conditionally -- GC_MAXIMUM_HEAP_SIZE=800M instead of 400M -- but the condition is match("--enable-debug", version#"configure arguments"), not --disable-optimize, and those are separate configure options: configure.ac:262 sets OPTIMIZE from --disable-optimize, configure.ac:305 sets DEBUG from --enable-debug, and neither implies the other. Time was not touched at all: m2/run.m2:13 still builds a fixed ulimit string, 'ulimit -c unlimited; -t 700; -m 850000; -s 8192; -n 512', with no dependence on configure arguments. The memory half landed in 230286b1f5 (Dan, 2021-06-26, 'start reviving memory debugging'), five months after he filed this, which is presumably why the issue was never closed -- it solved the neighbouring problem.
1890	2021-01-27	2026-08-19	mahrud	0	Task	Core,Memory Leak	prose	n/a	Increasing memory limits & reducing memory usage	stands		Task		Core		keep	stands, all four TODO boxes unchecked, and one of them is a near-miss worth recording. M2/Macaulay2/tests/quarantine/ does exist with ten files, which reads at a glance like the second item done -- but it was created by Mike Stillman in a04282c74f on 2019-08-17, two years before mahrud filed this, as part of moving tests out of Macaulay2Doc, and none of the five commits he lists for reversion is in it; grepping it for TateOnProducts or the twisted cubic returns nothing. The memory limit is unchanged: m2/run.m2:114 still uses GC_MAXIMUM_HEAP_SIZE=400M, or 800M under --enable-debug since 230286b1f5. So item one is unmet, item two only appears met, and items three and four depend on #1689, which is open. His premise has held up: #1834, triaged in the previous batch, carries jkyang92's 2021 instrumentation showing RawRingCell, FunctionClosure and Symbol leaking linearly, which is the case one cause he predicted.
1892	2021-01-28	2026-08-19	mahrud	1	Task	Engine,threads	prose	n/a	Set number of threads in libraries	stands		Task		threads		keep	stands, untouched: neither flint_set_num_threads nor openblas_set_num_threads appears anywhere in M2 -- git grep over the whole tree returns nothing -- so both libraries run single-threaded from M2's point of view, or at whatever their own defaults are. mahrud's 2024-07-21 cc to @DaveBarton and @d-torrance got no reply. Adding 'threads' alongside the existing Engine label, since the ask is thread configuration rather than engine algorithms. Type Task: calling two setter functions is implementation work, not new user-facing functionality.
1894	2021-01-28	2026-08-19	d-torrance	13	Bug	Documentation	transcript	differs	comments in examples	reproduces		Bug				keep	reproduces: the stripping is unchanged. SimpleDoc.m2:64 is still 'if match("^[[:space:]]*--", line) then continue -- skip comment lines', which is the line mahrud pointed at in 2021 when it was line 51, and line 186 carries a TODO for the other half, 'strip "-- comment" from ends of lines, except when -- appears in a string'. So the four-way inconsistency Doug tabulated -- Example strips, CannedExample strips leading-whitespace comments, EXAMPLE lines refuses a comment-only line, EXAMPLE PRE strips nothing -- is intact, and so is Dan's explanation for the third case, that EXAMPLE lines wants one complete input expression per string. Nobody acted on Mike's 'I'd be happy with leaving comments in the examples'. Related and closed: #3702, don't put -* no-capture-flag *- on its own line, which Doug linked here in 2025. Label Documentation is already right.
1898	2021-01-30	2026-08-19	DanGrayson	0	Task	build issue,stale	m2	different-error	configure script should check if C++ compiler works	stands		Task				keep	stands: configure still finds a C++ compiler without checking that it works. configure.ac:277 runs AC_PROG_CXX, which locates a compiler but does not compile anything with it, and the first thing that actually exercises it is the AC_RUN_IFELSE at configure.ac:341 under 'checking whether exceptions are caught', which is exactly the misleading message Dan quoted -- 'no, use a different C++ compiler' is what you get for CXX=foobar, sixty lines after the point where the real problem could have been named. Dan's ask was for a check first thing; there is none. Labels: 'stale' and 'build issue' were both applied by mahrud on 2024-07-21, replacing the 'build system' label he had added in 2021.
1899	2021-01-30	2026-08-19	jieaosong	17	Feature	Core	m2	drift	Feature request: singularLocus efficiency	stands		Feature		Core		keep	singularLocus unchanged since ad38169089 (2007): quotring.m2:293-296, default (Bareiss) minors of the jacobian, no trim; the ask -- a faster algorithm, Dan having ruled out requiring Singular as a prerequisite -- is unmet, and FastLinAlg's regularInCodimension, Mike's and kschwede's answer in-thread, is still a package. Separately, jieaosong's closing 'the problem is with try' is a misdiagnosis and the gap is smaller but live (4.92s vs 1.83s, was 11.6 vs 1.1). One singularLocus call either way, so not double evaluation; the cost is net of the *unnamed* quotient ring, called to format the 'no method for binary operator +' message -- 4.34s and 5.4MB of output, against 1.0e-5s when the same ring is bound to a global and prints as its name.
1903	2021-01-31	2026-08-19	d-torrance	4	Bug	Engine,arm,build issue	m2	crash	check(30, "AssociativeAlgebras") segfaulting on armhf	not-reproducible		Bug		Engine		keep	The reference build is patched against this row: /usr/share/Macaulay2/AssociativeAlgebras/tests.m2 carries '-- no-check-flag #1903' inside TEST blocks 29, 30 and 33, and captureTestResult skips on that marker on every architecture, so a clean check here would prove nothing. Ran the three bodies directly instead: all pass, 3x each, under jkyang92's 2022 amd64 reproducer (a schedule'd collectGarbage loop -- which needs allowableThreads raised or the thread is interrupted at once; 4140 collections observed concurrent with test 30), and test 30 also passes under GC_FREE_SPACE_DIVISOR=1000 and GC_MAXIMUM_HEAP_SIZE=400M. So 'I can reliably reproduce this crash on amd64' no longer holds on this machine. Not proposed for closing: it is a GC race, passing runs do not prove it gone, and the armhf original is untestable here. Engine added because the whole stack trace is e/NCAlgebras + poly.cpp + aring-glue. arm was proposed for removal -- it stopped being arm-specific within days, via Doug's 20.04 x86-64 CI link of 2021-02-01 and jkyang92's amd64 reproduction in 2022 -- and Doug kept it: armhf is where his buildds see it, the three no-check-flag skips exist for arm builds, and an arm sweep should still find this row.
1917	2021-02-05	2026-08-19	jieaosong	1	Bug	Core,Documentation	m2	clean	Primitive element for finite fields	reproduces		Bug		Core,Documentation		comment	Reproduces exactly, and one line explains both halves -- but the overwrite is deliberate, not an oversight. galois.m2:173-178: 'if d >= opts.SizeLimit or primitiveElement != S_0 then (typ = "FlintBig"; primitiveElement = S_0; -- Possibly NOT the primitive element in this case!!'. In the reported ring d = 48 < SizeLimit = 10000, so the trigger is the second disjunct, which fires whenever the primitive element is not the ring's own variable, discarding both FindOne's search (galois.m2:156-161) and the user's argument before galois.m2:200 stores the result as F.PrimitiveElement. Control: in ZZ/7[z]/(z^2-z-3) isPrimitive z is false (order 24 of 48) and F.PrimitiveElement comes back z; in ZZ/7[w]/(w^2-w+3) isPrimitive w is true and F.PrimitiveElement is correctly w; the rings differ in nothing else. Scope of the damage, measured: the substitution exists so ringmap.m2:122/133/142 can tell the engine where S_0 goes rather than where a primitive element goes, and it works -- 200 random pairs through map(F[t], F) on both the FlintBig and Zech paths gave zero additive or multiplicative failures. So arithmetic and ring maps are sound and only the option and the exposed attribute are wrong. The documentation demonstrates the broken usage: ov_rings.m2:644-648 promises 'your own choice of primitive element', says elements are stored internally as powers of it, and shows GF(ZZ/2[T]/(T^9+T+1), PrimitiveElement => T^3+1) -- T^3+1 has order 511, T does not, 511 < SizeLimit, and k.PrimitiveElement returns T. Related but distinct: #4582 on GF's modulus search, #1993 on memoizing GF, #1183 on ring maps over Galois fields.
1919	2021-02-07	2026-08-19	DanGrayson	0	Task	Core	prose	n/a	RingMap.cache.DegreeMap	stands		Task		Core		keep	Unchanged: the degree map is still installed into the cache at m2/ringmap.m2:159 (symbol DegreeMap => degmap) and read back as f.cache.DegreeMap at matrix.m2:187, basis.m2:214 and 233, newring.m2:116 and pushforward.m2:164, so it still plays no part in whether two ring maps are equal. Dan's own objection to his own fix -- replacing the function by a ZZ matrix would slow down the cheap degree maps, such as appending a zero -- is unaddressed. No comments since filing in 2021 and nothing to add beyond 'still true', so no comment proposed.
1924	2021-02-09	2026-08-19	pzinn	12	Task	Documentation	prose	n/a	Retiring Canned Examples?	stands		Task				keep	CannedExample is still supported and still used: 13 distributed packages (DirectSummands, ForeignFunctions, GKMVarieties, Graphs, K3Carpets, LinearTruncations, Matroids, MultigradedImplicitization, NoetherianOperators, NumericalImplicitization, Python, QuaternaryQuartics, WeierstrassSemigroups) plus three Core doc files (show-doc.m2, ov_getting_started.m2, ov_system.m2), and pzinn's 'ready to go through the Core' never happened. One of the three reasons Doug gave in-thread for keeping them is now moot: he said he would convert the assert docs to generated examples using stopIfError=false and did -- ov_debugging.m2:526-529 is a generated Example. The other two stand: examples that need external programs, and the architecture-dependent examples his Debian use-canned-examples.patch covers, which lives on salsa and was not checked from here.
1925	2021-02-09	2026-08-19	mahrud	2	Bug	Engine	transcript	differs	Bug in rawSelectByDegrees	reproduces		Bug				comment	Reproduces, still nondeterministically. Mechanism: degree_in_box (e/free-modules/freemod.cpp:391) loops i < len with len = D->n_vars(), the degree rank of the ring, reading lo->array[i] and hi->array[i] with no check on lo->len or hi->len beyond '!= 0'; select_by_degrees passes ndegrees as len and the glue at d/interface.dd:1877 validates only that the arguments are sequences of small integers. So a degree vector shorter than the degree rank reads past the end of the array. CORRECTION to an earlier draft of this note, which called it a memory-safety bug reachable from the prompt: it is not reachable without debug Core. The one caller in Core, submatrixByDegrees, validates lengths itself at matrix.m2:499-506 and errors 'expected degree vector of length 3' -- verified, submatrixByDegrees(m,{1},{1}) errors while submatrixByDegrees(m,{1,0,0},{1,0,0}) works. So the contract is enforced one layer above the engine and the raw entry point trusts its caller. Confirmed by experiment: degreeLength SM is 3, calls with both arguments length 3 or both empty are deterministic and correct, only the length-1 arguments vary run to run -- which means the report has it backwards, {1} is the malformed argument, not {1,0,0}. mahrud's own follow-up asking for partial-degree support is the well-defined version of the input that currently reads garbage, so one change would settle both halves. Not a duplicate of #3578, which passes correct-length degrees and fails on torsion in the degree group; mahrud links the two as 'Related' himself.
1928	2021-02-09	2026-08-19	mahrud	13	Feature	Interpreter	transcript	syntax	continue doesn't work when debugging with breakpoints	fixed		Feature				comment	Fixed by the second of the two options mahrud offered ('add a breakpoint keyword that continue will not get stuck on ... I really don't care which one'). The breakpoint keyword was added by mahrud himself in 59ea23120c (2024-08-24) and shipped in PR #3431 'top-level profiling' (merged 2025-02-09, first released in 1.25.05) without mentioning this issue; interp.dd:774 handles continueMessage with eval(c) rather than re-entering the debugger. Verified against 1.26.06: 'breakpoint print "..."' stops before the expression, and one continue runs it and leaves the debugger, so f 12 returns 12 -- the output mahrud said he expected. Caveats for the close: error-as-a-breakpoint is unchanged and still loops on continue; the help text at m2/code.m2:261 still describes continue the old way; and the debugger prints a spurious 'unhandled continue command' line before doing the right thing.
1947	2021-02-17	2026-08-19	slel	2	Task	Infrastructure,community,seeking a volunteer	shell	n/a	Package for Conda	stands		Task		Infrastructure		keep	Not packaged: anaconda.org has no macaulay2 package (api.anaconda.org/package/conda-forge/macaulay2 returns 'could not be found', a name search for 'macaulay' returns []), and github.com/conda-forge/macaulay2-feedstock 404s. dimpase said 'I'll take a look' on 2024-12-12 and nothing followed. Retyped Feature -> Task: this is a packaging and distribution chore rather than functionality in M2. Existing process labels 'seeking a volunteer' and 'community' left alone and still accurate.
1950	2021-02-20	2026-08-19	mahrud	30	Task	Infrastructure	opaque	n/a	Feature request: packages as git submodules	stands		Task		Infrastructure		keep	Unbuilt. .gitmodules contains only third-party libraries -- memtailor, mathic, mathicgb, bdwgc, flint, frobby, fflas-ffpack and friends -- and no M2 package is a submodule; there is no getPackage, clonePackage or pullPackage (only getPackageInfo, m2/system.m2:236). The 30-comment thread ended 2022-01-12 with Dan and antonleykin converging on 'package groups' plus a list of distributed package groups rather than per-package submodules, and neither design was implemented. One concrete thing did land: at the very end Dan noticed that mutually-importing packages (newPackage Foo with PackageImports {Bar} and vice versa) raised no error and said 'Will fix' -- verified fixed, the loop is now detected and errors.
1955	2021-02-22	2026-08-19	DanGrayson	4	Task	Documentation,Infrastructure,Interfaces,build issue	prose	n/a	Run tests and examples that use optional components on GitHub	stands		Task		Interfaces		keep	Live and current: Doug posted the up-to-date gap list on 2026-05-25, three months before this triage, naming Bertini (#4369), CoincidentRootLoci/qepcad, MapleInterface and its dependents, MonomialIntegerPrograms/scip, NCAlgebra/bergman, OnlineLookup, PHCpack and its dependents, and StatePolytope/polymake, with qepcad, phcpack and polymake present on the Ubuntu builders but not the macOS ones. Nothing to add; the thread is its own best record. Interfaces added because every item is an external program.
